English,Tulu
water,ನೀರ್
home,ಇಲ್ಲ್
house,ಇಲ್ಲ್
she,ಆಲ್
he,ಆಯೆ
him,ಅಯಗ್
her,ಆಲೆನ
breakfast,ತಿಂಡಿ
lunch,ಒಣಸ್
dinner,ರಾತ್ರೆದ ಒಣಸ್
morning,ಕಾಂಡೆ
afternoon,ಮಧ್ಯಾನ
evening,ಬಯ್ಯ
them,ಅಕಲೆಗ್
they,ಅಕುಲು
father,ಅಮ್ಮೆ
mother,ಅಪ್ಪೆ
elder sister,ಮಲ್ಲ ಅಕ್ಕ
younger sister,ಎಲ್ಯ ಅಕ್ಕ
brother,ಪಲಯೆ
elder brother,ಮಲ್ಲ ಅಣ್ಣೆ
younger brother,ಎಲ್ಯ ಮೆಗ್ಯೆ
sister,ಮೆಗ್ದಿ
uncle,ಮಾಮು
aunty,ಮಾಮಿ
How are you,ಯೀರ್ ಎಂಚ ಉಲ್ಲರ್
Where are you,ಈರ್ ಓಲುಲ್ಲಾರ್
what are you doing,ಯೀರ್ ಎಂಚಿನ ಮಲ್ತೊಂದುಲ್ಲರ್
wife,ಬೊಡೇದಿ
Nephew,ಅರ್ವತ್ತೆ
husband,ಕಂಡನೆ
year,ಒರ್ಸಾ/ಒಡು
month,ತಿಂಗೊಲ್
moon light,ತಿಂಗೊಲ್ದ ಬೊಲ್ಪು
time,ಪೊರ್ತು
day,ದಿನ
week,ವಾರ
date,ತೇದಿ
new moon day,ಅಮಾಸೆ
full moon day,ಪುನ್ನಮೆ
sunday,ಐತಾರ
monday,ಸೋಮಾರ
tuesday,ಅಂಗಾರೆ/ಮಂಗ್ಳಾರ
wednesday,ಬುದಾರ
thursday,ಗುರ್ವಾರ
friday,ಸುಕ್ರಾರ
saturday,ಸನಿಯಾರ
sweet,ಚೀಪೆ
bitter,ಕೈಪೆ
salty,ಉಪ್ಪು
sour,ಪುಲಿ
spicy,ಕಾರ
Insipid,ಚಪ್ಪೆ
Astringent,ಕನರ್ಪೆ/ಕನೆರ್/ಚೊಗರ್
tiger,ಪಿಲಿ
lion,ಸಿಂಹ
bear,ಕರೊಡಿ
dog,ನಾಯಿ
fox,ಕುದುಕೆ
goat,ಏಡ್
bull,ಬೋರಿ
snake,ನಾಗೆ/ಉಚ್ಚು
squirrel,ಚನಿಲ್
turtle,ಏಮೆ
mouse,ಇಲಿ
cow,ಪೆತ್ತ
monkey,ಮಂಗೆ/ಕುರಂಗೆ
pig/boar,ಪಂಜಿ
cat,ಪುಚ್ಚೆ
this is for you,ಉಂದು ನಿಕ್
I go to school,ಯಾನ್ ಸಾಲೆಗ್ ಪೊಪೆ
you write one story every week,ಇರ್ ವಾರೊಗು ಒಂಜಿ ಕತೆ ಬರೆಪರ್
Dog barks at night daily,ನಾಯಿ ದಿನೊಲಾ ರಾತ್ರೆ ಕೊರೆಪುಂಡು
I wash my bike every Sunday,ಯಾನ್ ಎನ್ನ ಬೈಕ್ನ ಪ್ರತಿ ಐತಾರ ದೆಕ್ಕುವೆ
cow gives milk,ಪೆತ್ತ ಪೇರ್ ಕೊರ್ಪುಂಡು
birds fly in the sky,ಆಕಾಶೊಡು ಪಕ್ಕಿಲು ರಾಪ
i will go home tomorrow,ಯಾನ್ ಎಲ್ಲೆ ಇಲ್ಲಡೆ ಪೊಪೆ
i will meet you on sunday,ಯಾನ್ ನಿಕ್ ಐತಾರ ತಿಕ್ಕುವೆ
everything will be fine,ಮಾತಲ ಸಮ ಆಪುಂಡು
i will wait for you,ಯಾನ್ ನಿಕ್ ಕಾಪುವೆ
always,ಎಪೊಲ
children went to school,ಜೊಕುಲು ಸಾಲೆಗ್ ಪೊಯೆರ್
I learnt tulu,ಯಾನ್ ತುಳು ಕಲ್ತೆ
I closed the door,ಯಾನ್ ಬಾಕಿಲ್ ಪಾಡಿಯೆ
I had work yesterday,ಯೆಂಕ್ ಕೋಡೆ ಬೇಲೆ ಇತ್ತಂಡ್
I opened the door,ಯಾನ್ ಬಾಕಿಲ್ ದೆತ್ತೆ
he felt bad,ಆಯೆಗ್ ಬೆಜಾರ್ ಆಂಡ್
the rice is cooked,ನುಪ್ಪು ಬೆಯ್ತಂಡ್
guests,ಬಿನ್ನೆರ್
I have seen that movie three times,ಯಾನ್ ಆ ಮುವಿ ಮುಜಿ ಸರ್ತಿ ತುತೆ
they have bought a new car,ಅಕುಲು ಒಂಜಿ ಪೊಸ ಕಾರ್ ದೆತ್ತೊಂದೆರ್
beautiful girl,ಪೊರ್ಲುದ ಪೊನ್ನು/ಶೊಕುದ ಪೊನ್ನು
I saw one big house,ಯಾನ್ ಒಂಜಿ ಮಲ್ಲ ಇಲ್ಲನ್ ತುಯೆ
He is my old friend,ಆಯೆ ಎನ್ನ ಪರ ದೊಸ್ತಿ
There are seven rooms in my house,ಎನ್ನ ಇಲ್ಲಡ್ ಏಳ್ ಕೋಣೆ ಉಂಡು
hundred people,ನೂದು ಜನ
warm,ಬೆಚ್ಚ
happy life,ಸುಖತ ಬದ್ಕ್
You should sleep early,ಈ ಬೇಗ ಜೆಪ್ಪೊಡು
should i go,ಯಾನ್ ಪೊವೊಡಾ
what should i do,ಯಾನ್ ದಾದ ಮಲ್ಪೊಡು
you may go now,ಈ ಇತ್ತೆ ಪೊವೊಲಿ
may i come in,ಯಾನ್ ಉಲೈ ಬರೊಲಿಯೆ
should not tell a lie,ಸುಳ್ಳು ಪಂಡ್ರೆ ಬಲ್ಲಿ
they could not speak yesterday,ಅಕ್ಲೆಗ್ ಕೋಡೆ ಪಾತೆರೆ ಆಯಿಜಿ
when did you come,ಈ ಯೆಪ ಬತ್ತಿನಿ
let us meet this evening,ಇನಿ ಬಯ್ಯಗ್ ತಿಕ್ಕ್ಗ್
I will come lately,ಯಾನ್ ಒಂತೆ ತರಿದ್ ಬರ್ಪೆ
here,ಮುಲ್ಪ/ಮುಲು
There,ಅಲ್ಪ/ಔಲು
down/below,ತಿರ್ತ
above/upon,ಮಿತ್
Go there,ಅಡೆ ಪೊ
look there,ಅಲ್ಪ ತುಲಾ
you were in front of me,ಈ ಎನ್ನ ಎದುರುಡು ಇತ್ತ
move forward,ದುಂಬು ಪೊಲೆ
come back,ಪಿರ ಬಲೆ
don't go anywhere,ಒಡೆಲಾ ಪೊವೊಡ್ಚಿ
college,ಕಾಲೇಜ್
will you come today,ಈರ್ ಇನಿ ಬರ್ಪರ್
Where do you live,ಈರ್ ಓಲು ಉಪ್ಪುನು
I,ಯಾನ್
You,ಈರ್
how did you come,ಇರ್ ಏಂಚ ಬತ್ತಿನಿ
god bless you,ದೇವೆರ್ ಎಡ್ಡೆ ಮಲ್ಪಡ್
Don't do like that,ಅಂಚ ಮಲ್ಪೊಡ್ಚಿ
I will come soon,ಯಾನ್ ಬೇಗ ಬರ್ಪೆ
Speak a bit louder,ಒಂತೆ ಜೋರುಡು ಪಾತೆರ್ಲೆ
Speak a bit softer,ಒಂತೆ ಮೆಲ್ಲ ಪಾತೆರ್ಲೆ
This work should be done quickly,ಈ ಬೇಲೆ ರಪ್ಪ ಆವೊಡು
Suddenly it rained,ಒರಾನೆ ಬರ್ಸಾ ಬತ್ತಂಡ್
I will go and come quickly,ಯಾನ್ ರಪಕ್ಕ ಪೊದು ಬರ್ಪೆ
she sings very nicely,ಆಲ್ ಮಸ್ತ ಶೊಕುಡು ಪದ ಪನ್ಪಲ್
I didnt do anything,ಯಾನ್ ದಾಲ ಮಲ್ತಿಜೆ
let us go together,ನಮ ಒಟ್ಟುಗು ಪೊಯಿ
she came to visit you,ಆಲ್ ನಿನನ್ ತುಯೆರೆ ಬತ್ತಿನಿ
I was busy therefore i could not come,ಯಾನ್ ಬಿಸಿ ಇತ್ತೆ ಅಂಚಾಡ್ ಬರ್ರೆ ಆಯಿಜಿ
why did you come,ದಾನೆ ಬತ್ತಿನಿ
Then whats special,ಬೊಕ್ಕ ದಾನೆ ವಿಷೇಶ
I live in Mangalore,ಯಾನ್ ಕುಡ್ಲಡ್ ವಾಸ ಮಲ್ಪುವೆ
Do you speak Tulu,ನಿಕ್ಕ್ ತುಳು ಗೊತ್ತುಂಡಾ
I can speak Tulu,ಎಂಕ್ ತುಳು ಪಾತೆರ್ರೆ ಆಪುಂಡು
